date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:47:26	449461/449461	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fa1191c-6dbb5%22	http://kotlis.kwst.net/light/js/plugins.js	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/js/plugins.js	(from http://kotlis.kwst.net/light/index.html)
22:47:28	709469/709469	---M--	200	added ('OK')	image/jpeg	etag:%225c7e86c6-ad35d%22	http://kotlis.kwst.net/light/images/bg/14.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/bg/14.jpg	(from http://kotlis.kwst.net/light/index.html)
22:47:31	126428/126428	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225bdc47e0-1eddc%22	http://kotlis.kwst.net/light/fonts/fa-brands-400.eot	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-brands-400.eot	(from http://kotlis.kwst.net/light/css/plugins.css)
22:47:38	69644/69644	---M--	200	added ('OK')	font/woff2	etag:%225bdc47e0-1100c%22	http://kotlis.kwst.net/light/fonts/fa-brands-400.woff2	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-brands-400.woff2	(from http://kotlis.kwst.net/light/css/plugins.css)
22:47:45	81612/81612	---M--	200	added ('OK')	font/woff	etag:%225bdc47e0-13ecc%22	http://kotlis.kwst.net/light/fonts/fa-brands-400.woff	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-brands-400.woff	(from http://kotlis.kwst.net/light/css/plugins.css)
22:47:51	126428/126428	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225bdc47e0-1eddc%22	http://kotlis.kwst.net/light/fonts/fa-brands-400.eot?	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-brands-400d41d.eot	(from http://kotlis.kwst.net/light/css/plugins.css)
22:48:01	713575/713575	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225bdc47e0-ae367%22	http://kotlis.kwst.net/light/fonts/fa-brands-400.svg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-brands-400.svg	(from http://kotlis.kwst.net/light/css/plugins.css)
22:48:05	126192/126192	---M--	200	added ('OK')	application/octet-stream	etag:%225bdc47e0-1ecf0%22	http://kotlis.kwst.net/light/fonts/fa-brands-400.ttf	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-brands-400.ttf	(from http://kotlis.kwst.net/light/css/plugins.css)
22:48:09	542934/542934	---M--	200	added ('OK')	image/jpeg	etag:%225c7e7fb9-848d6%22	http://kotlis.kwst.net/light/images/bg/9.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/bg/9.jpg	(from http://kotlis.kwst.net/light/index.html)
22:48:25	145656/145656	---M--	200	added ('OK')	font/woff2	etag:%225bdc47e0-238f8%22	http://kotlis.kwst.net/light/fonts/fa-light-300.woff2	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-light-300.woff2	(from http://kotlis.kwst.net/light/css/plugins.css)
22:48:40	191732/191732	---M--	200	added ('OK')	font/woff	etag:%225bdc47e0-2ecf4%22	http://kotlis.kwst.net/light/fonts/fa-light-300.woff	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-light-300.woff	(from http://kotlis.kwst.net/light/css/plugins.css)
22:49:10	405844/405844	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225bdc47e0-63154%22	http://kotlis.kwst.net/light/fonts/fa-light-300.eot	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-light-300.eot	(from http://kotlis.kwst.net/light/css/plugins.css)
22:49:17	1642239/1642239	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225bdc47e0-190eff%22	http://kotlis.kwst.net/light/fonts/fa-light-300.svg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-light-300.svg	(from http://kotlis.kwst.net/light/css/plugins.css)
22:49:23	405844/405844	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225bdc47e0-63154%22	http://kotlis.kwst.net/light/fonts/fa-light-300.eot?	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-light-300d41d.eot	(from http://kotlis.kwst.net/light/css/plugins.css)
22:49:40	135488/135488	---M--	200	added ('OK')	font/woff2	etag:%225bdc47e0-21140%22	http://kotlis.kwst.net/light/fonts/fa-regular-400.woff2	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-regular-400.woff2	(from http://kotlis.kwst.net/light/css/plugins.css)
22:49:43	405628/405628	---M--	200	added ('OK')	application/octet-stream	etag:%225bdc47e0-6307c%22	http://kotlis.kwst.net/light/fonts/fa-light-300.ttf	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/fonts/fa-light-300.ttf	(from http://kotlis.kwst.net/light/css/plugins.css)
